Enum Value	Module Name	Max String Length	Description	English	Tr_Chinese	Si_Chinese	Thai	Spanish	French	German	Russian	Italian	Arabic   	Portuguese	Turkish	Vietnamese	Indonesian	Malaysian	Hindi	Danish	Czech	Polish	Hungarian	Finnish	Norwegian	Slovak	Dutch	Swedish	Croatian	Romanian	Slovenian	Greek	Hebrew	Bulgarian	Marathi	Persian	Urdu	Tamil	Bengali	Punjabi	Telugu	Ukrainian
BRA_STR_ID_CONTENT_TOO_LARGE	Undefined	26	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_RESET	Undefined	5	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_CHOOSE	Undefined	6	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_NOCERT	Undefined	26	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_LOAD_SCHEME_SMS_CONF	Undefined	12	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_LOAD_SCHEME_EGE_CONF	Undefined	36	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_LOAD_SCHEME_RTSP_CONF	Undefined	19	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_LOAD_SCHEME_MMS_CONF	Undefined	12	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_CANCEL_PROV	Undefined	5	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_LOAD_EXPIRED_MSG_CONF	Undefined	21	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_ACTIVATED	Undefined	9	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_DOWNLOAD	Undefined	9	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V			V	V	V	V	V
BRA_STR_ID_SUSPEND_DOWNLOAD	Undefined	9	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V			V	V	V	V	V
BRA_STR_ID_AUTHENTICATION	Undefined	4	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_AUTH_FAILED	Undefined	21	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_BROWSER	Undefined	7	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_MMS	Undefined	5	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
